GEP1,GEP2,GEP3,GEP4,GEP5,GEP6,GEP7,GEP8,GEP9
DHRS9,CD19,MS4A1,CFHR1,RRM2,PPP1R14A,WFDC2,AC233755.2,S100A9
NEB,RNASE6,CCL3,AC246787.2,MKI67,CST6,G0S2,TMEM176B,LYZ
PTP4A3,CD27,FGF7,FAM30A,TYMS,SPON2,CRIP1,NSD2,FCN1
AL353753.1,HLA-DPA1,LAPTM5,CTSW,STMN1,CGREF1,LAMP5,TMEM176A,VCAN
NUDT12,HLA-DQB1,CPVL,SLC22A17,UBE2C,TMEM119,MT1E,AZGP1,S100A8
ISLR,HLA-DRB5,ALOX5AP,JCHAIN,TOP2A,CLDN3,MT2A,KLF4,MNDA
LINC01088,CD79A,BTG1,SPINK2,TPX2,TRPM4,LINC01480,AREG,LST1
HIST1H1C,HLA-DRB1,ZFP36L2,RBP1,NUSAP1,OBP2A,CAVIN3,DNAAF1,FYB1
MT-ND5,HLA-DMA,CCL4,CADPS2,BIRC5,PHACTR3,PLTP,SOCS3,FCER1G
DEPP1,TPST2,PHACTR1,SLIT3,CENPF,AC026369.3,S100A10,CD55,AIF1
IFI27,ISG20,CCND1,ASS1,PCLAF,LINC01405,FTH1,C19orf81,CSTA
LAG3,CD74,MYADM,NT5E,FOXM1,LAPTM4B,TMSB4X,HIST1H1C,S100A12
RPL36A,XBP1,TSC22D3,PSAT1,HIST1H3B,MSLN,CD44,HLA-B,TYROBP
KCNS3,CTSH,LINC01781,PHGDH,CDK1,SLC9A3R2,SLC22A31,RALYL,SERPINA1
RPS17,CD81,CAMP,PGLYRP2,PKMYT1,AKR1C1,CLU,HLA-C,FPR1
MYO1E,RPL22L1,LMNA,CHAC1,CKAP2L,MUC20,CLGN,PTP4A3,CD14
CCND2,LSP1,CXCR4,PPP1R3G,SPC25,BIRC3,MT1X,ITM2C,LGALS2
S100A4,HSH2D,JUND,SHMT2,CDCA2,EPCAM,KRT18,SPCS1,AC020656.1
QPCT,TMEM156,FOSB,WARS,PBK,CD9,CX3CR1,MAL,CXCL8
RPL13A,HCST,FCRLB,ACY3,HJURP,NTHL1,CD99,B2M,JAML
HIST1H2AC,BASP1,RNGTT,CFH,AURKB,SCUBE1,NEBL,KRTCAP2,RETN
RPL37,CD38,FCER2,CCND1,MND1,BIK,TRIB3,MT-CO2,CLEC7A
RPL23,MGLL,ZFP36,TCN2,KIF23,MRPL1,ATF5,MT-ATP6,CSF3R
IFI6,HLA-DQA1,CD81,GAS2,CENPA,SDK2,UCHL1,MCL1,ZEB2
TMEM173,SRM,IDS,AF131216.3,CCNA2,ZFP36L1,EREG,RPLP1,MS4A6A
GEM,RAB30,ID1,FXYD5,HIST1H3C,CLDN7,TIMP1,RGS2,C5AR1
PTMS,NPC2,NFKBIA,DNAJC1,ASPM,WNT4,CST3,VIM,FGR
GAS5,CCR10,MARCKS,SLC1A5,ZWINT,RHOB,CCND1,C11orf96,C1orf162
PLAAT2,CXCR3,CNR1,TSKS,CCNB2,PRR15L,JSRP1,S100A6,SMIM25
GPRC5D,IFI30,JCHAIN,LIME1,KIFC1,SMIM5,RBP1,GNAS,TNFRSF1B
ROR2,LMAN1,DUSP1,SEL1L,ESCO2,HSPB1,LILRB4,BTG2,MPEG1
PERP,SUB1,NR4A2,ATF5,TK1,PLAUR,CYP2R1,TAC1,TREM1
RPL24,SYNGR1,GADD45B,CHPF,KIF20A,ACP5,WARS,NSMCE3,IL1B
NES,AC078883.1,VPREB3,FRZB,FAM111B,PDE3A,CCPG1,JUNB,CLEC12A
SPN,ICAM2,NUCKS1,ERN1,DIAPH3,ADTRP,TMSB10,MT-CYB,LILRB3
MT-ND2,APOBEC3G,PPP1R15A,KCNK12,HIST1H1B,QPCT,MT1M,NR4A1,LILRA5
RPL7,SEL1L3,CSRNP1,RPL36AL,CEP55,PCDH1,IGFBPL1,GADD45A,COTL1
CFB,LINC02362,FOS,DNAJB9,DLGAP5,METRN,SLC3A2,CPVL,LILRB2
RPL36,MZB1,ANK3,HM13,MELK,FMO1,STEAP1,GAS6,CD300E
NEAT1,CD99,YPEL5,PCDH20,PLK1,TMED3,FCRLA,LGALS1,CD36
UBA52,PSME2,KLF2,SARS,CDCA3,AC022613.1,CEBPB,P2RX1,GIMAP4
MT-ND4,FKBP11,GADD45A,P2RX1,ANLN,TMEM91,MANF,MME,CEBPD
CST6,IRF7,RGS1,LINC00632,SPC24,CSF2RB,MYADM,TIMP2,NFAM1
GAS6,HSP90B1,SYNGR1,SELENOS,KIF4A,METTL27,SPATS2L,IGFBP7,FCGR1A
RPL37A,AKR1A1,UBC,TYRP1,KIF11,CXADR,PHLDA2,ZNF667-AS1,MAFB
PRR15,CSNK1E,DUSP5,MANF,CDCA5,RCN3,VIM,FTL,LMO2
ADGRB3,SAT1,SEMA4A,LINC01289,CDT1,POMC,NXPH4,ABHD14A,CD93
MT-ND1,NLRP7,TGIF1,GSTP1,TROAP,SH2B2,TRABD2A,AP000547.3,ANPEP
MYC,ADA2,RBM38,KIAA1217,BUB1B,C1orf21,LGALS3,MT-ND4L,ASGR1
S100A13,EAF2,CD28,SYT1,CIT,TUBB2B,FOS,ARL4C,MYO1F
RPS11,ZBP1,WNT16,CLECL1,GTSE1,PECAM1,PPDPF,TMBIM6,CFP
KRT7,PPIB,JUNB,PLK2,NUF2,FAM92B,PGLYRP2,ZNF331,CSF1R
COX7C,ITM2C,YWHAZ,GMPPB,CDCA8,IL5RA,ITPKA,GPRC5D,ASGR2
HGF,C12orf45,PLD4,CD79A,CENPW,TNFRSF17,TM6SF1,GNAL,APOBEC3A
TGFB2,SEC24A,ST14,TMEM229A,PTTG1,CALHM3,CRIP2,TSTD1,BST1
SNHG29,SEC13,MCL1,NRXN1,KIF14,TMEM145,RNF187,PPIA,NLRP3
RPL31,RALY,MT-ND3,TMEM258,HIST1H3G,DNAAF1,C10orf99,SERF2,HCK
BMP6,JSRP1,GRINA,AMPD1,CDKN3,EHD3,HHLA2,UBC,AQP9
LINC01425,SCNN1B,SMAD1,VSTM2L,KNL1,AL592429.2,BARX2,CD63,CLEC4E
NPM1,PRDX1,LDLR,GSTM2,CDC20,OXT,RTN3,FCRL5,TNFSF13B
DEFB1,VOPP1,MT-ATP8,COPZ2,E2F8,CDH1,MT1F,INSIG1,ITGAX
SMIM22,AC104699.1,MT-ATP6,GLIDR,NCAPH,TAFA5,SLC35F1,CYBA,IGSF6
C2,ARSA,AL513128.2,MDK,TACC3,FCGRT,ANXA1,NOVA1,TLR4
RPL10A,GRN,GNB3,LMO4,PHF19,TMC4,LINC02485,CAPN2,SLC2A3
DANCR,UBE2J1,TIPARP,PARM1,HMGB2,GRAMD2B,MAMDC2,CSRNP1,LRRC25
CDH17,FUT8,AC004130.2,KDELR2,SKA3,SCNN1B,GDF15,ITM2B,SLC11A1
PARP9,KDELR2,PTMA,ISG20,UHRF1,HSBP1,PCGF5,CLEC11A,CYP1B1
MTRNR2L12,C12orf75,HLA-DRA,LRPAP1,NEK2,CD59,LGALS14,SEC11C,HK3
RPL35,RFTN1,RAB11FIP1,PTHLH,BUB1,NKAIN4,SGPP2,PNP,PILRA
MAL,IDH2,SRSF5,SMOC1,ASF1B,NME4,P2RX1,GADD45B,GIMAP7
WNT11,SRSF9,LCP1,LINC01055,POLQ,EPHX3,MT1G,TSC22D3,GASK1B
RHOB,NCF4,MT-ND1,HSPA13,NCAPG,MXD4,CDK2AP2,NENF,AC005280.2
AC026369.3,RAC2,FCRL3,P4HA1,SPAG5,CRB3,NUCB2,CHST2,MEFV
NANOS1,DNPH1,ZDHHC14,TNFRSF18,IQGAP3,MOCOS,EML2-AS1,FKBP11,RASGRP4
MT-ND4L,IQCG,HES1,BMI1,KIF18B,LYPD6B,PDCD4,RASD1,FCAR
BMP8B,MAN2B1,ACTB,EAF2,DEPDC1,SELPLG,S100A11,H1FX,MCEMP1
MT-ND6,DCPS,LDOC1,ALDH1L2,CDC25C,SOWAHC,STEAP2,RAPGEF5,TLR2
METTL7A,RPS19BP1,SF1,TMED9,TTK,SULF2,KRT81,KLF6,ITGB2
TSPAN7,ERLEC1,GRASP,LURAP1L,DTL,RAMP2,ERN1,ZFP36,SORL1
RHOQ,SWAP70,PDZRN4,NT5DC2,CLSPN,HORMAD2-AS1,FBXO32,SCAMP5,AL034397.3
MUC1,TXNDC5,H3F3A,SYTL1,HIST1H4C,COCH,TAGLN2,DDIT4,EMILIN2
HNRNPA1,PRCP,MT-CO3,COMMD3,SGO1,CSTB,MAP1LC3B,HIST1H2AC,PLXDC2
AGR2,BLNK,JUN,FXYD7,MAD2L1,ROPN1L,RCAN2,PELI2,LINC00937
MT-CO3,CNKSR1,FAM92B,MYDGF,SHCBP1,TMEM156,SMIM33,LINC00960,S100P
HIGD2A,SDF2L1,RPS26,SEC61G,KIF15,TSPO,RAB31,MT-CO1,ITGAM
S1PR4,KDELR1,PER1,MEI1,ARHGAP11A,CCDC180,SLC24A2,MZB1,AC090559.1
PALM2-AKAP2,PIM2,IL10RA,AC020659.1,CDC45,SPINT2,DDIT4,LMNA,TGFBI
CD48,CYBA,MFHAS1,PDIA3,NDC80,CLTB,APP,CST3,KCNE3
RPL21,PRSS21,CD53,CD40,EXO1,DUSP13,CERNA2,WSCD1,VSTM1
RPL27A,IFNAR2,IRF2BP2,ERLEC1,HMMR,RASAL2,MAL2,TXNDC5,PRAM1
SAMD3,ACP5,KLF10,RABAC1,UBE2T,MTDH,LY96,IL6R,HLA-DPB1
GAPDH,APOBEC3B,BEX2,LGMN,CENPU,ABHD2,CDHR1,CD200,LILRA1
ANXA1,SYK,ELF1,ARF4,CCNB1,CFLAR,DDIT3,MYADM,FPR2
TXNIP,PRDX4,ATP8B4,MANEA,RAD54L,TMEM238,DSTN,WHRN,RBP7
RPL38,ENTPD1,ZMIZ1,SEC24D,CENPK,BANF1,SERPINE2,EZR,CYP27A1
CCN2,CHCHD2,RENBP,RPN1,TUBB,PIK3R5,MGST2,LRMDA,SCIMP
IFI30,TXNDC15,DUSP2,C7orf50,PRC1,SLCO4A1,RHOC,EYA4,GAPT
RACK1,KCNMA1,IER2,AC078883.1,ATAD2,KIF3C,SGK1,PPIB,APOBR
HIST1H2BC,IFI35,AL118516.1,NUGGC,FANCI,ELFN1-AS1,TBXAS1,UACA,MARCH1
MLLT3,ISOC2,RASSF6,PDIA4,RAD51,ISCU,SHMT2,DERL3,CLEC4D
