sample_id,pathway_name,max_prob,mean_prob,n_pairs,partners,directions,rank
ALk1post,MIF,5.930095066165425e-4,9.386958696574008e-5,104,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_CM; CD4_EM; CD4_Naive; CD8_CM; CD8_EM; CD8_Naive; CD8_TEMRA; cDC2; Colony Forming Unit-Granulocytes; Common myeloid progenitors; Erythroid_CD34- CD71+ GlyA-; Erythroid_CD34- CD71+ GlyA+; Erythroid_CD34- CD71lo GlyA+; Erythroid_CD34+ CD71+ GlyA-; gdT; Granulocytes (Neutrophilic Metamyelocytes); Granulocytes (Neutrophils); Hematopoietic stem cells_CD133+ CD34dim; Macrophage; MAIT; Mature B cells class able to switch; Mature B cells class switched; Myeloid Dendritic Cells; Naive B cells; NK cells_CD56-_CD16+_cytokine; pDC; PlasmaCells; pre-mDC; pre-pDC; Treg,Immune->Plasma; Plasma->Immune; Plasma<->Plasma,1
ALk1post,APP,3.7206668596103824e-4,5.94977254530861e-5,16,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_dendritic-like1; cDC2; Common myeloid progenitors; Erythroid_CD34- CD71+ GlyA-; Erythroid_CD34+ CD71+ GlyA-; Hematopoietic stem cells_CD133+ CD34dim; Myeloid Dendritic Cells; pDC; pre-mDC; pre-pDC,Immune->Plasma,2
ALk1post,MHC-I,3.1626625637912116e-4,4.419649390438999e-5,121,CD14 Mono_dendritic-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_EM; CD8_CM; CD8_EM; CD8_Naive; CD8_TEMRA; cDC2; Colony Forming Unit-Granulocytes; Common myeloid progenitors; Erythroid_CD34+ CD71+ GlyA-; gdT; MAIT; Myeloid Dendritic Cells; Naive B cells; NK cells_CD56-_CD16+_cytokine; pDC; pre-mDC; pre-pDC,Immune->Plasma; Plasma->Immune,3
ALk1post,CypA,1.825637213350509e-4,1.2443947809748172e-4,10,cDC2; Erythroid_CD34- CD71+ GlyA+; Erythroid_CD34- CD71lo GlyA+; Erythroid_CD34+ CD71+ GlyA-; Hematopoietic stem cells_CD133+ CD34dim; Myeloid Dendritic Cells; pre-mDC; pre-pDC,Immune->Plasma; Plasma->Immune,4
ALk1post,PECAM2,5.781888691920077e-5,7.4582306954232675e-6,35,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD8_CM; CD8_Naive; CD8_TEMRA; cDC2; Colony Forming Unit-Granulocytes; Common myeloid progenitors; Erythroid_CD34- CD71+ GlyA-; Erythroid_CD34+ CD71+ GlyA-; gdT; Granulocytes (Neutrophilic Metamyelocytes); Granulocytes (Neutrophils); Hematopoietic stem cells_CD133+ CD34dim; Macrophage; Mature B cells class switched; Myeloid Dendritic Cells; Naive B cells; NK cells_CD56-_CD16+_cytokine; pDC; PlasmaCells; pre-mDC; pre-pDC,Immune->Plasma; Plasma->Immune; Plasma<->Plasma,5
ALk1post,BAFF,5.694652111045048e-5,9.79043709520703e-6,63,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; cDC2; Colony Forming Unit-Granulocytes; Common myeloid progenitors; Erythroid_CD34- CD71+ GlyA-; Erythroid_CD34+ CD71+ GlyA-; Granulocytes (Neutrophilic Metamyelocytes); Granulocytes (Neutrophils); Hematopoietic stem cells_CD133+ CD34dim; Mature B cells class able to switch; Mature B cells class switched; Myeloid Dendritic Cells; Naive B cells; NK cells_CD56-_CD16+_cytokine; pDC; PlasmaCells; pre-mDC; pre-pDC,Immune->Plasma; Plasma->Immune; Plasma<->Plasma,6
ALk1post,CD99,5.4606605565324724e-5,1.8680077337017606e-5,41,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_EM; CD8_EM; CD8_Naive; CD8_TEMRA; cDC2; Common myeloid progenitors; Erythroid_CD34+ CD71+ GlyA-; Hematopoietic stem cells_CD133+ CD34dim; MAIT; Myeloid Dendritic Cells; NK cells_CD56-_CD16+_cytokine; pDC; pre-mDC; pre-pDC,Immune->Plasma; Plasma->Immune,7
ALk1post,CLEC,3.572994129286646e-5,1.1101398928826887e-5,14,CD4_CM; CD4_EM; CD8_EM; CD8_Naive; CD8_TEMRA; gdT; MAIT,Plasma->Immune,8
ALk1post,APRIL,3.2987833292028805e-5,6.3998585496334856e-6,26,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; cDC2; Common myeloid progenitors; Hematopoietic stem cells_CD133+ CD34dim; Myeloid Dendritic Cells; NK cells_CD56-_CD16+_cytokine; pDC; pre-mDC; pre-pDC,Immune->Plasma,9
ALk1post,CD45,2.9540472896213503e-5,1.078997932032364e-5,9,cDC2; Macrophage; Mature B cells class able to switch; Mature B cells class switched; Myeloid Dendritic Cells; Naive B cells; pre-mDC,Plasma->Immune,10
