chr	arm	cutoff	len	arm_len
1	p	123400000	248956422	123400000
1	q	123400001	248956422	125556422
2	p	93900000	242193529	93900000
2	q	93900001	242193529	148293529
3	p	90900000	198295559	90900000
3	q	90900001	198295559	107395559
4	p	50000000	190214555	50000000
4	q	50000001	190214555	140214555
5	p	48800000	181538259	48800000
5	q	48800001	181538259	132738259
6	p	59800000	170805979	59800000
6	q	59800001	170805979	111005979
7	p	60100000	159345973	60100000
7	q	60100001	159345973	99245973
8	p	45200000	145138636	45200000
8	q	45200001	145138636	99938636
9	p	43000000	138394717	43000000
9	q	43000001	138394717	95394717
10	p	39800000	133797422	39800000
10	q	39800001	133797422	93997422
11	p	53400000	135086622	53400000
11	q	53400001	135086622	81686622
12	p	35500000	133275309	35500000
12	q	35500001	133275309	97775309
13	p	17700000	114364328	17700000
13	q	17700001	114364328	96664328
14	p	17200000	107043718	17200000
14	q	17200001	107043718	89843718
15	p	19000000	101991189	19000000
15	q	19000001	101991189	82991189
16	p	36800000	90338345	36800000
16	q	36800001	90338345	53538345
17	p	25100000	83257441	25100000
17	q	25100001	83257441	58157441
18	p	18500000	80373285	18500000
18	q	18500001	80373285	61873285
19	p	26200000	58617616	26200000
19	q	26200001	58617616	32417616
20	p	28100000	64444167	28100000
20	q	28100001	64444167	36344167
21	p	12000000	46709983	12000000
21	q	12000001	46709983	34709983
22	p	15000000	50818468	15000000
22	q	15000001	50818468	35818468
